District,passed_quality_check,n_stop_words,alpha_ratio,mean_word_length,doc_length,symbol_to_word_ratio_#,proportion_bullet_points
Atlanta,0.9632352941176471,1407.2150735294117,0.8907393200253342,4.594533012291986,3133.7536764705883,5.9723984668979785e-06,0.003676470588235294
BoardGovernors,0.9638888888888889,1468.4256944444444,0.8822940960458994,4.786181229386228,3608.820138888889,5.482814076297645e-06,0.0006944444444444445
Boston,0.788235294117647,1511.9176470588236,0.8672857291765913,4.615881009272194,3693.0823529411764,1.0201042666116863e-05,0.11764705882352941
Chicago,0.9930394431554525,1246.786542923434,0.8732097574243319,4.5469634448210225,3002.6334106728536,2.7010068128818095e-05,0.0
Cleveland,0.9487870619946092,1484.622641509434,0.8749869525812133,4.651702384125303,3612.619946091644,3.0906282293273045e-05,0.0
Dallas,0.9844961240310077,1480.7286821705427,0.8768293077302551,4.459732104089641,3465.0658914728683,5.7167684251445735e-06,0.0
Kansas,0.9682539682539683,1168.6137566137565,0.8875939058279889,4.721338923857874,2787.835978835979,6.550976423035449e-06,0.0
Minneapolis,0.9297297297297298,1856.9351351351352,0.8832657441383585,4.489530790379331,3911.8594594594597,6.799051403367028e-06,0.0
NewYork,0.9595808383233533,1423.3547904191616,0.8871748906292737,4.708367364211904,3395.2829341317365,4.419478241699851e-06,0.0
Philadelphia,0.9933554817275747,1313.6943521594685,0.8878662240719677,4.532670401173627,2950.0697674418607,2.139252502390365e-06,0.0
Richmond,0.9084507042253521,1249.4788732394366,0.8721489532175005,4.604294333644393,3021.549295774648,6.375181660446127e-06,0.0
SanFrancisco,0.9783080260303688,1127.3644251626897,0.8489938092413811,4.3335995149025335,2778.3839479392623,0.00031601763628511003,0.0021691973969631237
StLouis,0.9296116504854369,1160.883495145631,0.8731346456323414,4.5773060053927255,2767.5703883495144,3.3540023122118932e-06,0.0
