Price,Close,High,Low,Open,Volume
Ticker,IEF,IEF,IEF,IEF,IEF
Date,,,,,
2002-07-30,40.96083450317383,41.136162162092354,40.92576973574473,41.04599507130709,41300
2002-07-31,41.33657455444336,41.36663283156206,41.10114161797256,41.10114161797256,32600
2002-08-01,41.50687789916992,41.52691546982426,41.336560459495956,41.34658115571104,71400
2002-08-02,41.827476501464844,41.92766054521292,41.52692054844431,41.58702944598264,120300
2002-08-05,42.03787612915039,42.03787612915039,41.84251451820898,41.91765448128889,159300
2002-08-06,41.697242736816406,41.83249542756259,41.592048322778865,41.83249542756259,90100
2002-08-07,41.827476501464844,41.90261644516405,41.62710459219239,41.67219008712243,38100
2002-08-08,41.68220901489258,41.77738653638245,41.62209629261847,41.742321737166684,142600
2002-08-09,41.9928092956543,42.017853411019914,41.737334859541754,41.737334859541754,99600
2002-08-12,42.07796096801758,42.21822022642647,42.05291303396822,42.128053014338164,38100
2002-08-13,42.41358184814453,42.448646662718495,42.10801539752361,42.2382577752747,109300
2002-08-14,42.2883186340332,42.694072699750166,42.258264192785774,42.57384729120978,146100
2002-08-15,42.04285430908203,42.24322611671683,41.95268718673509,42.077919088785045,60500
2002-08-16,41.76738357543945,42.213209278411995,41.71228117873246,42.203192398000766,55800
2002-08-19,41.80744934082031,41.83249726888385,41.64214218786632,41.83249726888385,41600
2002-08-20,42.19313430786133,42.19313430786133,41.92763946404446,41.97773528250667,56900
2002-08-21,42.08796691894531,42.0979876186741,41.927670119279284,41.96774527464008,37900
2002-08-22,41.86254119873047,41.97775628836359,41.827476401324965,41.97775628836359,43600
2002-08-23,42.05290985107422,42.07795778322777,41.90764407427284,41.9376985354348,26500
2002-08-26,42.072940826416016,42.17813524574378,42.01283191353002,42.03787601997343,27800
2002-08-27,41.94768142700195,42.04285890593415,41.86252464152302,41.95269177372858,38800
2002-08-28,42.10299301147461,42.16310191566163,42.07794508687888,42.12302676501914,40200
2002-08-29,42.298343658447266,42.373479769256456,42.24324129600338,42.36346289507381,101500
2002-08-30,42.37849426269531,42.398531834796415,42.22821820460122,42.36847738753281,28900
2002-09-03,42.84093475341797,43.02691311843259,42.7253233675285,42.77056010444933,110700
2002-09-04,42.825862884521484,42.95152563222832,42.76554721997274,42.80576021962038,77300
2002-09-05,42.99680709838867,43.05209906674698,42.82087985130604,43.026964959338166,57900
2002-09-06,42.665000915527344,42.85098310252646,42.64489442220948,42.77055712925501,32200
2002-09-09,42.60468292236328,42.80071642775632,42.59965534058053,42.695160219846315,88800
2002-09-10,42.755489349365234,42.83088776020678,42.5544320336844,42.57956228068326,21400
2002-09-11,42.59968948364258,42.59968948364258,42.46899909699359,42.529318621967974,77500
2002-09-12,42.82085418701172,42.84096069390285,42.62482053847831,42.62482053847831,39900
2002-09-13,43.021854400634766,43.05201603834209,42.87106155177404,42.91629825595657,125900
2002-09-16,43.0369873046875,43.18778032932599,43.0369873046875,43.08222406160202,108700
2002-09-17,43.177711486816406,43.20786931253069,42.926386046072324,42.926386046072324,30400
2002-09-18,43.227996826171875,43.33858068745453,43.182760065605564,43.187783815719314,76400
2002-09-19,43.44414520263672,43.464251711676084,43.28832455123724,43.43911761664576,61100
2002-09-20,43.429039001464844,43.46925199428548,43.328506519413274,43.3787746779001,128600
2002-09-23,43.67533493041992,43.76078466017478,43.58988520066507,43.67030734781026,293700
2002-09-24,43.83118438720703,43.956847190880126,43.67033615190244,43.760813523944044,158200
2002-09-25,43.49942398071289,43.725615427841724,43.42905313783177,43.57984615760989,88900
2002-09-26,43.469268798828125,43.52455689167743,43.25815242236655,43.39387036687211,256100
2002-09-27,43.75572967529297,43.75572967529297,43.4842979319744,43.51948331527945,199400
2002-09-30,44.01210021972656,44.08247102077397,43.88643752715318,43.931678090638535,97200
2002-10-01,43.62798309326172,43.86996651438917,43.62798309326172,43.7388937638856,150100
2002-10-02,43.774166107177734,43.78928958431999,43.547302411277,43.6430895615188,43000
2002-10-03,43.748958587646484,43.79433286619996,43.56746916594399,43.784247983741096,37500
