Price,Close,High,Low,Open,Volume
Ticker,UUP,UUP,UUP,UUP,UUP
Date,,,,,
2007-03-01,20.54920768737793,20.57389692877141,20.516290268517054,20.516290268517054,4600
2007-03-02,20.540977478027344,20.78786517741532,20.532749300745103,20.590355959703178,2400
2007-03-05,20.672653198242188,20.68088137605728,20.65619370328434,20.664423450763266,1100
2007-03-06,20.65619659423828,20.65619659423828,20.65619659423828,20.65619659423828,400
2007-03-07,20.573898315429688,20.639734727252506,20.56566856774385,20.639734727252506,2800
2007-03-08,20.672653198242188,20.697340871015125,20.672653198242188,20.697340871015125,42200
2007-03-09,20.705570220947266,20.738489210230917,20.705570220947266,20.738489210230917,700
2007-03-12,20.63973617553711,20.63973617553711,20.63973617553711,20.63973617553711,200
2007-03-13,20.59035873413086,20.59035873413086,20.573899238021095,20.573899238021095,1100
2007-03-14,20.540977478027344,20.60681545359512,20.540977478027344,20.60681545359512,2000
2007-03-15,20.540977478027344,20.540977478027344,20.540977478027344,20.540977478027344,0
2007-03-16,20.466915130615234,20.483373056641284,20.458685382770256,20.458685382770256,4000
2007-03-19,20.573898315429688,20.573898315429688,20.466914734841556,20.466914734841556,2200
2007-03-20,20.450456619262695,20.47514429432201,20.450456619262695,20.47514429432201,1400
2007-03-21,20.39284896850586,20.39284896850586,20.39284896850586,20.39284896850586,200
2007-03-22,20.39284896850586,20.409306894530967,20.244716646632565,20.409306894530967,17500
2007-03-23,20.516292572021484,20.516292572021484,20.466915653354405,20.466915653354405,4100
2007-03-26,20.450456619262695,20.499833539045305,20.450456619262695,20.499833539045305,3100
2007-03-27,20.44222640991211,20.466915654078495,20.44222640991211,20.466915654078495,200
2007-03-28,20.44222640991211,20.450456157967572,20.40930741769026,20.40930741769026,3400
2007-03-29,20.466915130615234,20.466915130615234,20.466915130615234,20.466915130615234,100
2007-03-30,20.401081085205078,20.409309264341086,20.401081085205078,20.409309264341086,200
2007-04-02,20.450456619262695,20.450456619262695,20.376390454756795,20.4339971227805,4100
2007-04-03,20.475143432617188,20.483373180511933,20.475143432617188,20.483373180511933,5200
2007-04-04,20.450456619262695,20.450456619262695,20.450456619262695,20.450456619262695,500
2007-04-05,20.384618759155273,20.384618759155273,20.384618759155273,20.384618759155273,1100
2007-04-09,20.516292572021484,20.540980246523056,20.508062823966316,20.516292572021484,22700
2007-04-10,20.450456619262695,20.46691611574489,20.4339971227805,20.4422268710216,30500
2007-04-11,20.450456619262695,20.78786844882782,20.4257673745394,20.450456619262695,172000
2007-04-12,20.327011108398438,20.392847516803894,20.327011108398438,20.392847516803894,8900
2007-04-13,20.31878089904785,20.33523882352708,20.277632163690377,20.294091657833366,8300
2007-04-16,20.236486434936523,20.318782341831326,20.236486434936523,20.318782341831326,22600
2007-04-17,20.228254318237305,20.244713811621377,20.203565078161198,20.244713811621377,23600
2007-04-18,20.203567504882812,20.21179725256335,20.129501345421826,20.178879831505064,18300
2007-04-19,20.203567504882812,20.21179725256335,20.170650083824526,20.195339326866144,26800
2007-04-20,20.12950325012207,20.203569416591368,20.104815574408317,20.203569416591368,24200
2007-04-23,20.236486434936523,20.269403855896122,20.203567444313055,20.269403855896122,29300
2007-04-24,20.2117977142334,20.269404379649135,20.162420796686185,20.23648695783896,42300
2007-04-25,20.178878784179688,20.203566456276093,20.16241928967289,20.195338278686485,7600
2007-04-26,20.26117515563965,20.277633080863286,20.244715660752185,20.269403333419554,40800
2007-04-27,20.19533920288086,20.244716118997086,20.113043296244573,20.1624202123608,55800
2007-04-30,20.154190063476562,20.187109053341228,20.137730568544228,20.170649558408893,6300
2007-05-01,20.277633666992188,20.285863414673802,20.162420338777327,20.162420338777327,2500
2007-05-02,20.294092178344727,20.3023219256273,20.22825576974793,20.285862431062153,21300
2007-05-03,20.31878089904785,20.36815781181306,20.294091657833366,20.294091657833366,13100
2007-05-04,20.24471664428711,20.29409356168452,20.2117976529129,20.277634065997415,90800
2007-05-07,20.294092178344727,20.3681583342241,20.244715264313076,20.244715264313076,52500
2007-05-08,20.35169792175293,20.359927668664323,20.29409126303689,20.29409126303689,147000
2007-05-09,20.376388549804688,20.376388549804688,20.31055213969481,20.31055213969481,9700
2007-05-10,20.401081085205078,20.458687757141664,20.37639183880479,20.401081085205078,15000
2007-05-11,20.41753578186035,20.433995276855665,20.384618361533565,20.42576552935801,24100
2007-05-14,20.401081085205078,20.409309264341086,20.07189741185757,20.359932341204598,15400
2007-05-15,20.33523941040039,20.417535313826633,20.277632748901162,20.417535313826633,31100
2007-05-16,20.425765991210938,20.433995738894676,20.31055266296631,20.392848570139844,13000
2007-05-17,20.475143432617188,20.483373180511933,20.45868550649161,20.475143432617188,8100
2007-05-18,20.433996200561523,20.475143370246,20.425766452691846,20.46691519204023,10400
2007-05-21,20.49160385131836,20.524522844379966,20.48337410305296,20.508063347849163,16400
2007-05-22,20.499832153320312,20.508061901005103,20.475142910265934,20.499832153320312,7800
2007-05-23,20.483375549316406,20.49160529816288,20.244719111424956,20.450458123594593,9900
2007-05-24,20.516292572021484,20.516292572021484,20.475143831745633,20.475143831745633,6100
2007-05-25,20.499832153320312,20.508061901005103,20.466914732245016,20.508061901005103,10700
2007-05-29,20.508060455322266,20.508060455322266,20.417534806834883,20.43399430104418,9600
2007-05-30,20.540977478027344,20.549207224973316,20.483370819069272,20.508060059907187,22600
2007-05-31,20.508060455322266,20.508060455322266,20.47514146690367,20.47514146690367,2400
2007-06-01,20.516292572021484,20.557439742633395,20.491603327855973,20.540980246523056,12500
2007-06-04,20.433996200561523,20.433996200561523,20.425766452691846,20.433996200561523,8000
2007-06-05,20.376388549804688,20.40930597002771,20.244715729584936,20.368158802332974,95700
2007-06-06,20.4093074798584,20.475143894838695,20.137732071856696,20.442226472180522,54500
2007-06-07,20.540977478027344,20.540977478027344,20.458683147895083,20.475141072123296,16300
2007-06-08,20.6068172454834,20.647964414127525,20.21179720604599,20.647964414127525,8400
2007-06-11,20.65619659423828,20.67265609149973,20.623277599715383,20.647966845607556,9700
2007-06-12,20.69734001159668,20.69734001159668,20.63150360416286,20.672652339848852,156700
2007-06-13,20.738489151000977,20.75494707593199,20.71379990910875,20.746717328634585,10200
2007-06-14,20.763179779052734,20.763179779052734,20.71380285790284,20.74672028211476,12100
2007-06-15,20.647966384887695,20.713802802800423,20.647966384887695,20.697343305906237,52500
2007-06-18,20.62327766418457,20.697343832428572,20.62327766418457,20.63150741284102,54900
2007-06-19,20.631505966186523,20.66442495850409,20.631505966186523,20.66442495850409,2500
2007-06-20,19.84969711303711,23.84103199530636,19.81677812340878,20.615044785929868,4300
2007-06-21,20.65619659423828,20.754950438478865,20.606819672117986,20.65619659423828,3300
2007-06-22,20.532751083374023,20.61504542065098,20.532751083374023,20.5738982520125,46800
2007-06-25,20.598587036132812,20.61504496142326,20.57389779370139,20.58212754117853,9400
2007-06-26,20.565671920776367,20.590361167859218,20.516294996274794,20.55744217174875,17800
2007-06-27,20.598587036132812,20.598587036132812,20.58212754117853,20.58212754117853,2400
2007-06-28,20.598587036132812,20.598587036132812,20.549208551269967,20.549208551269967,5900
2007-06-29,20.475143432617188,20.565669089795477,20.475143432617188,20.50806242419617,3600
2007-07-02,20.3681583404541,20.45045424364122,20.261174765075502,20.44222449635613,15800
2007-07-03,20.33523941040039,20.417535313826633,20.33523941040039,20.33523941040039,6500
2007-07-05,20.433996200561523,20.433996200561523,20.417536704822172,20.417536704822172,12100
2007-07-06,20.39284896850586,20.417536642375474,20.39284896850586,20.417536642375474,500
2007-07-09,20.401081085205078,20.42576876194128,20.39285133640498,20.401081085205078,8800
2007-07-10,20.26117515563965,20.32701156552568,20.26117515563965,20.32701156552568,4900
2007-07-11,20.236486434936523,20.261175677904124,20.228256687280656,20.228256687280656,4900
2007-07-12,20.203567504882812,20.22825674792443,20.195339326866144,20.21179725256335,73000
2007-07-13,20.220027923583984,20.220027923583984,20.20356842747129,20.20356842747129,600
2007-07-16,20.2117977142334,20.22825720997044,20.187110040291746,20.2117977142334,3800
2007-07-17,20.2117977142334,20.22002746210192,20.2117977142334,20.2117977142334,700
2007-07-18,20.19533920288086,20.19533920288086,20.1624202123608,20.1624202123608,1100
2007-07-19,20.18711280822754,20.18711280822754,20.154193812239804,20.16242356123674,11200
2007-07-20,20.154190063476562,20.154190063476562,20.12950082107806,20.145960316010395,600
2007-07-23,20.19533920288086,20.19533920288086,20.154190464730785,20.1624202123608,16800
2007-07-24,20.03898048400879,20.16242357974789,20.03898048400879,20.14596408173891,18100
2007-07-25,20.2117977142334,20.23648695783896,20.195339788160265,20.195339788160265,6100
2007-07-26,20.12127113342285,20.211795209430313,20.113041386574228,20.211795209430313,3000
2007-07-27,20.28586196899414,21.808330648988342,20.277632221899022,20.277632221899022,26500
2007-07-30,20.31878089904785,20.31878089904785,20.302321404904863,20.302321404904863,5200
2007-07-31,20.28586196899414,20.302321463184377,19.997827099320034,20.302321463184377,6600
2007-08-01,20.294092178344727,20.335239345093804,20.25294501159565,20.335239345093804,11200
2007-08-02,20.327011108398438,20.327011108398438,20.2776326248465,20.30232186662247,900
2007-08-03,20.13772964477539,20.236485040175403,20.13772964477539,20.236485040175403,20100
2007-08-06,20.178878784179688,20.178878784179688,20.145959795166092,20.145959795166092,3300
2007-08-07,20.236486434936523,20.252945930248256,20.18710951866519,20.18710951866519,13700
2007-08-08,20.178878784179688,20.187108531433086,20.15418954241949,20.15418954241949,4300
2007-08-09,20.33523941040039,20.33523941040039,20.31055173813718,20.33523941040039,6200
2007-08-10,20.35169792175293,20.36815741557572,20.33523842793014,20.359927668664323,40500
2007-08-13,20.4093074798584,20.43399672409999,20.343471064878106,20.368160309119695,25400
2007-08-14,20.540977478027344,20.540977478027344,20.475141072123296,20.475141072123296,39600
2007-08-15,20.631505966186523,20.6561952104247,20.59035879545351,20.62327621810713,26800
2007-08-16,20.573898315429688,20.615045484194997,20.56566856774385,20.59035781080136,30800
2007-08-17,20.516292572021484,20.57389923874374,20.285864335468535,20.285864335468535,16300
2007-08-20,20.565671920776367,20.573901669803984,20.532754494330028,20.55744217174875,13300
2007-08-21,20.573898315429688,20.573898315429688,20.557438820058014,20.557438820058014,6800
2007-08-22,20.516292572021484,20.549209994578224,20.516292572021484,20.524522320076656,21200
2007-08-23,20.483375549316406,20.508064795855837,20.475145800469928,20.508064795855837,1200
2007-08-24,20.39284896850586,20.42576639021998,20.35170022928333,20.42576639021998,52000
2007-08-27,20.376388549804688,20.376388549804688,20.35992905486126,20.35992905486126,2500
2007-08-28,20.376388549804688,20.376388549804688,20.35169930738955,20.368158802332974,17200
2007-08-29,20.359928131103516,20.39284711949679,20.351698384005196,20.37638762530015,3900
2007-08-30,20.450456619262695,20.450456619262695,20.376390454756795,20.4339971227805,27500
2007-08-31,20.401081085205078,20.433998510741375,20.3517025924045,20.3517025924045,5700
2007-09-04,20.433996200561523,20.49160286598535,20.433996200561523,20.483373118115672,4700
2007-09-05,20.359928131103516,20.359928131103516,20.335238889808558,20.351698384005196,900
2007-09-06,20.302322387695312,20.376388545260383,20.294092640225433,20.376388545260383,40600
2007-09-07,20.18711280822754,20.21180048555422,20.178883059230607,20.195342557224475,3000
2007-09-10,20.16242027282715,20.187109515791235,20.145960777517757,20.17887976813654,49600
2007-09-11,20.18711280822754,20.195342557224475,20.137734314245936,20.195342557224475,3500
2007-09-12,20.08835220336914,20.15418860868236,20.071892709624905,20.12949936806601,8200
2007-09-13,20.145957946777344,20.170647186272305,20.145957946777344,20.154187693275667,2500
2007-09-14,20.19533920288086,20.19533920288086,20.14596071710077,20.14596071710077,2400
2007-09-17,20.178878784179688,20.203566456276093,20.16241928967289,20.16241928967289,2500
2007-09-18,20.11304473876953,20.220028326304956,20.063666249447973,20.211798578084693,10700
2007-09-19,20.104814529418945,20.154191447944005,20.096584781387445,20.113044277450445,28000
2007-09-20,19.956680297851562,19.99782746441461,19.890843889552418,19.98959928683303,53900
2007-09-21,19.964908599853516,19.989597839802382,19.956678853203893,19.98136809315276,7500
2007-09-24,19.956680297851562,19.96491004509693,19.923761308870098,19.931991056115464,33800
2007-09-25,19.907304763793945,19.915534511609703,19.85792627689938,19.882615520346665,27800
2007-09-26,19.9731388092041,20.647962353469424,19.915532150985896,19.931990075002734,17700
2007-09-27,19.940221786499023,19.940221786499023,19.866155627302735,19.882615122604992,128700
2007-09-28,19.792089462280273,19.86615562145476,19.75094229370061,19.849697695821213,44800
2007-10-01,19.8167781829834,19.841467425278868,19.380610987079752,19.833237677847045,44600
2007-10-02,19.940221786499023,19.948451534150152,19.89907461790725,19.915534113209503,99700
2007-10-03,19.997827529907227,20.006057277179544,19.87438446015003,19.899073701966987,48800
2007-10-04,19.9731388092041,20.014285973741757,19.956679315523555,20.014285973741757,16600
2007-10-05,19.940221786499023,19.95668128180128,19.874385374953864,19.95668128180128,29000
2007-10-08,20.06366539001465,20.08012488575012,19.97314130279737,19.981371050665107,48600
2007-10-09,19.989601135253906,20.063665727983317,19.95668214322845,20.055437549640885,92800
2007-10-10,19.931989669799805,19.948449163145742,19.874383012752702,19.907301999444577,49800
2007-10-11,19.948450088500977,19.948450088500977,19.816777274952884,19.89907317583638,90600
2007-10-12,19.9155330657959,19.92376124335042,19.874384329704384,19.907303318577597,14100
2007-10-15,19.890844345092773,19.890844345092773,19.833237682719687,19.874384850225084,18400
2007-10-16,19.9155330657959,19.93199099056872,19.89084382414099,19.899073571359295,295500
2007-10-17,19.907304763793945,19.915534511609703,19.84969809874752,19.866156024715142,44200
2007-10-18,19.783863067626953,19.783863067626953,19.734484577283705,19.75917382245533,22600
2007-10-19,19.742712020874023,19.808548430648486,19.726252526014452,19.742712020874023,51100
