NameMix,FullName,Gender,Birth Year,Start Year,End Year,Race,Degree,Major,PreFed_clean,SaltFresh
Richard W. Fisher,Richard W. Fisher,1.0,1949.0,2005.0,2015.0,W,Master's,Business,Business/Industry,
Ralph E. Flanders,Ralph E. Flanders,1.0,1880.0,1944.0,1946.0,W,None/unknown,,Business/Industry,
Matthew J. Fleming,Matthew J. Fleming,1.0,1879.0,1935.0,1944.0,W,None/unknown,,Banking/Finance/Fed,
Ford,,1.0,1939.0,-9999.0,9999.0,,PhD,Economics,Academic Economist,1.0
William F. Ford,William F. Ford,1.0,,1980.0,1983.0,W,PhD,Economics,Professional Economist,1.0
Robert P. Forrestal,Robert P. Forrestal,1.0,1931.0,1983.0,1996.0,W,JD,Law,Law/Legal,
Darryl R. Francis,Darryl R. Francis,1.0,1912.0,1966.0,1976.0,W,Bachelor's,Agriculture/Other,Banking/Finance/Fed,
Wilbur D. Fulton,Wilbur D. Fulton,1.0,1898.0,1953.0,1963.0,W,None/unknown,,Banking/Finance/Fed,
Stephen S. Gardner,Stephen S. Gardner,1.0,1921.0,1976.0,1978.0,W,Master's,Business,Banking/Finance/Fed,
William B. Geery,William B. Geery,1.0,1867.0,1927.0,1936.0,W,None/unknown,,Banking/Finance/Fed,
Timothy F. Geithner,Timothy F. Geithner,1.0,1961.0,2003.0,2009.0,W,Master's,Economics,Other,
Esther L. George,Esther L. George,0.0,1958.0,2011.0,9999.0,W,Master's,Business,Banking/Finance/Fed,
Ray M. Gidney,Ray M. Gidney,1.0,1887.0,1944.0,1953.0,W,Bachelor's,,Banking/Finance/Fed,
Robert R. Gilbert,Robert R. Gilbert,1.0,1888.0,1939.0,1953.0,W,None/unknown,,Banking/Finance/Fed,
Austan D. Goolsbee,Austan D. Goolsbee,1.0,1969.0,2023.0,9999.0,W,PhD,Economics,,1.0
Goolsbee,,1.0,,-9999.0,9999.0,,PhD,,,
Lyle E. Gramley,Lyle E. Gramley,1.0,1927.0,1980.0,1985.0,W,PhD,Economics,Professional Economist,3.0
Edward M. Gramlich,Edward M. Gramlich,1.0,1939.0,1997.0,2005.0,W,PhD,Economics,Academic Economist,1.0
Alan Greenspan,Alan Greenspan,1.0,1926.0,1987.0,2006.0,W,PhD,Economics,Other,3.0
J. Roger Guffey,J. Roger Guffey,1.0,1929.0,1976.0,1991.0,W,JD,Law,Law/Legal,
Guynn,,1.0,1942.0,-9999.0,9999.0,,None/unknown,Business,Banking/Finance/Fed,
Jack Guynn,Jack Guynn,1.0,1943.0,1996.0,2006.0,W,Master's,Other,Banking/Finance/Fed,
George H. Hamilton,George H. Hamilton,1.0,1875.0,1932.0,1941.0,W,None/unknown,,Banking/Finance/Fed,
Hammack,,0.0,,-9999.0,9999.0,,None/unknown,,,
Patrick T. Harker,Patrick T. Harker,1.0,1958.0,2015.0,2025.0,W,PhD,Engineering/STEM,Academic Economist,
George L. Harrison,George L. Harrison,1.0,1887.0,1928.0,1940.0,W,None/unknown,,Law/Legal,
Alfred Hayes,Alfred Hayes,1.0,1910.0,1956.0,1975.0,W,Master's,Economics,Banking/Finance/Fed,
Aubrey N. Heflin,Aubrey N. Heflin,1.0,1912.0,1968.0,1973.0,W,JD,Law,Law/Legal,
Heller,,1.0,1936.0,-9999.0,9999.0,,PhD,Economics,Academic Economist,1.0
H. Robert Heller,H. Robert Heller,1.0,1940.0,1986.0,1989.0,W,PhD,Economics,Professional Economist,1.0
Hendricks,,1.0,,-9999.0,9999.0,,,,,
W. Braddock Hickman,W. Braddock Hickman,1.0,1911.0,1963.0,1970.0,W,PhD,Economics,Professional Economist,2.0
Thomas M. Hoenig,Thomas M. Hoenig,1.0,1946.0,1991.0,2011.0,W,PhD,Economics,Banking/Finance/Fed,2.0
Robert C. Holland,Robert C. Holland,1.0,1925.0,1973.0,1976.0,W,PhD,Economics,Professional Economist,1.0
Karen N. Horn,Karen N. Horn,0.0,1944.0,1982.0,1987.0,W,PhD,Economics,Professional Economist,2.0
W. Lee Hoskins,W. Lee Hoskins,1.0,1941.0,1987.0,1991.0,W,PhD,Economics,Professional Economist,2.0
Watrous H. Irons,Watrous H. Irons,1.0,1903.0,1954.0,1968.0,W,PhD,Engineering/STEM,Academic Economist,
Jackson,,1.0,1928.0,-9999.0,9999.0,,None/unknown,,Banking/Finance/Fed,
