equity,group,abstract,info,read,disunity,strain,strainUpper
SPX_index,speaker_pct,5.15\%,5.20\%,8.75\%,19.30\%,21.22\%,11.59\%
SPX_index,financial_pct,0.75\%,0.14\%,0.3\%,0.15\%,0.18\%,0.27\%
SPX_index,macro_pct,0.73\%,0.46\%,0.32\%,0.21\%,0.17\%,0.45\%
SPX_index,topic_pct,3.50\%,1.86\%,0.56\%,11.28\%,1.07\%,3.43\%
ES_futures,speaker_pct,7.27\%,10.39\%,20.90\%,15.03\%,28.94\%,17.70\%
ES_futures,financial_pct,0.46\%,0.9\%,0.15\%,0.31\%,0.28\%,0.73\%
ES_futures,macro_pct,1.43\%,0.93\%,0.50\%,0.29\%,0.65\%,0.99\%
ES_futures,topic_pct,3.91\%,2.05\%,38.05\%,25.08\%,2.89\%,6.37\%
SHY,speaker_pct,6.76\%,11.28\%,19.38\%,12.49\%,25.77\%,17.62\%
SHY,financial_pct,1.1\%,0.8\%,0.41\%,0.42\%,0.59\%,0.83\%
SHY,macro_pct,1.35\%,0.70\%,0.61\%,0.35\%,0.86\%,1.22\%
SHY,topic_pct,4.08\%,2.13\%,39.80\%,27.56\%,3.31\%,6.63\%
IEF,speaker_pct,7.29\%,11.07\%,19.80\%,12.19\%,25.58\%,17.78\%
IEF,financial_pct,1.5\%,0.52\%,0.45\%,0.75\%,0.39\%,0.62\%
IEF,macro_pct,1.07\%,0.61\%,0.65\%,0.38\%,0.83\%,0.90\%
IEF,topic_pct,3.92\%,2.14\%,39.52\%,27.47\%,3.29\%,6.53\%
TLT,speaker_pct,7.00\%,11.23\%,19.37\%,12.03\%,25.43\%,18.21\%
TLT,financial_pct,1.3\%,0.66\%,0.23\%,0.38\%,0.14\%,0.76\%
TLT,macro_pct,1.38\%,0.63\%,0.55\%,0.29\%,0.67\%,0.90\%
TLT,topic_pct,4.07\%,2.16\%,40.07\%,27.73\%,3.33\%,6.30\%
UUP,speaker_pct,4.80\%,8.60\%,14.64\%,7.85\%,19.67\%,13.42\%
UUP,financial_pct,0.86\%,0.73\%,0.29\%,0.41\%,0.48\%,0.8\%
UUP,macro_pct,0.82\%,0.73\%,0.49\%,0.35\%,0.93\%,0.79\%
UUP,topic_pct,5.77\%,2.43\%,49.35\%,34.15\%,6.30\%,8.37\%
VXX,speaker_pct,19.30\%,16.51\%,9.20\%,6.88\%,13.25\%,3.36\%
VXX,financial_pct,3.4\%,3.2\%,0.82\%,0.72\%,1.9\%,2.3\%
VXX,macro_pct,3.08\%,1.38\%,1.81\%,0.54\%,3.22\%,2.03\%
VXX,topic_pct,4.02\%,3.28\%,60.00\%,35.89\%,10.34\%,11.22\%
VIX,speaker_pct,6.38\%,6.07\%,11.29\%,21.05\%,24.05\%,13.17\%
VIX,financial_pct,1.4\%,0.75\%,0.39\%,0.097\%,0.22\%,0.79\%
VIX,macro_pct,1.18\%,0.53\%,0.22\%,0.14\%,0.11\%,0.62\%
VIX,topic_pct,3.62\%,2.15\%,1.07\%,12.74\%,1.43\%,4.65\%
GLD,speaker_pct,6.69\%,10.27\%,17.40\%,9.61\%,21.09\%,16.76\%
GLD,financial_pct,0.7\%,0.23\%,0.45\%,0.72\%,0.53\%,0.11\%
GLD,macro_pct,1.23\%,0.69\%,0.68\%,0.35\%,0.84\%,1.23\%
GLD,topic_pct,5.11\%,2.49\%,43.06\%,30.54\%,5.12\%,7.26\%
